Location,Population,% of world,Date,Source (official or from the United Nations),Notes,source_page,table_number,Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,Country Country,Youth (15 to 24) Rate,Youth (15 to 24) Year,Adult (25+) Rate,Adult (25+) Year,Elderly (65+) Rate,Elderly (65+) Year,Youth Gender Parity Index Rate,Youth Gender Parity Index Year,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference[a],Year,Note
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Zimbabwe *,90.4,2014,88.7,2014.0,81.1,2014.0,1.1,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Afghanistan *,,,,,,,,,37.3%,52.1%,22.6%,29.5%,2021,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Albania *,,,,,,,,,98.1%,98.5%,97.8%,0.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Algeria *,,,,,,,,,81.4%,87.4%,75.3%,12.1%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Andorra *,,,,,,,,,100.0%,100.0%,100.0%,0.0%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Angola *,,,,,,,,,71.1%,82.0%,60.7%,21.3%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Antigua and Barbuda *,,,,,,,,,99.0%,98.4%,99.4%,1.0%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Argentina *,,,,,,,,,99.0%,98.9%,99.1%,0.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Armenia *,,,,,,,,,99.8%,99.8%,99.7%,0.1%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Australia *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Austria *,,,,,,,,,98.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Azerbaijan *,,,,,,,,,99.8%,99.9%,99.7%,0.2%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bahamas,,,,,,,,,96.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bahrain *,,,,,,,,,97.5%,99.9%,94.9%,5.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bangladesh *,,,,,,,,,74.66%,76.56%,72.82%,3.72%,2022[14],,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Barbados *,,,,,,,,,99.6%,99.6%,99.6%,0.0%,2014,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Belarus *,,,,,,,,,99.9%,99.9%,99.9%,0.0%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Belgium *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Belize *,,,,,,,,,83.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Benin *,,,,,,,,,42.4%,54.0%,31.1%,22.9%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bhutan *,,,,,,,,,66.6%,75.0%,57.1%,17.9%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bolivia *,,,,,,,,,92.5%,96.5%,88.6%,7.9%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bosnia and Herzegovina *,,,,,,,,,98.5%,99.5%,97.5%,2.0%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Botswana *,,,,,,,,,88.5%,88.0%,88.9%,0.9%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Brazil *,,,,,,,,,93.2%,93.0%,93.4%,0.4%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Brunei *,,,,,,,,,97.2%,98.1%,93.4%,4.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Bulgaria *,,,,,,,,,98.4%,98.7%,98.1%,0.6%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Burkina Faso *,,,,,,,,,39.3%,49.2%,31.0%,18.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Burundi *,,,,,,,,,68.4%,76.3%,61.2%,15.1%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Cape Verde *,,,,,,,,,86.8%,91.7%,82.0%,9.7%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Cambodia *,,,,,,,,,80.5%,86.5%,75.0%,11.5%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Cameroon *,,,,,,,,,77.1%,82.6%,71.6%,11.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Canada *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Central African Republic *,,,,,,,,,37.4%,49.5%,25.8%,23.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Chad *,,,,,,,,,22.3%,31.3%,14.0%,17.3%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Chile *,,,,,,,,,96.3%,96.3%,96.3%,0.0%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,China *,,,,,,,,,96.8%,98.5%,95.2%,3.3%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Colombia *,,,,,,,,,95.6%,95.4%,95.9%,0.5%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Comoros *,,,,,,,,,58.8%,64.6%,53.0%,11.6%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Congo *,,,,,,,,,80.3%,86.1%,74.6%,11.5%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,DR Congo *,,,,,,,,,77.0%,88.5%,66.5%,22.0%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Costa Rica *,,,,,,,,,97.9%,97.8%,97.9%,0.1%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Ivory Coast *,,,,,,,,,89.9%,93.1%,86.7%,6.4%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Croatia *,,,,,,,,,99.3%,99.7%,98.9%,0.8%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Cuba *,,,,,,,,,99.8%,99.9%,99.8%,0.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Cyprus *,,,,,,,,,99.1%,99.5%,98.7%,0.8%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Czech Republic *,,,,,,,,,99.0%,99.0%,99.0%,0.0%,2011,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Denmark *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Djibouti *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Dominica *,,,,,,,,,92.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Dominican Republic *,,,,,,,,,93.8%,93.8%,93.8%,0.0%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Ecuador *,,,,,,,,,93.6%,94.8%,92.5%,2.3%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Egypt *,,,,,,,,,71.2%,76.5%,65.5%,11.0%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,El Salvador *,,,,,,,,,89.1%,91.3%,87.3%,4.0%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Equatorial Guinea *,,,,,,,,,95.3%,97.4%,93.0%,4.4%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Eritrea *,,,,,,,,,76.6%,84.4%,68.9%,15.5%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Estonia *,,,,,,,,,99.8%,99.8%,99.8%,0.0%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Ethiopia *,,,,,,,,,51.8%,57.2%,44.4%,12.8%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Fiji *,,,,,,,,,99.1%,99.1%,99.1%,0.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Finland *,,,,,,,,,100.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,France *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Gabon *,,,,,,,,,84.7%,85.9%,83.4%,2.5%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Gambia *,,,,,,,,,50.8%,61.8%,41.6%,20.2%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Georgia *,,,,,,,,,99.6%,99.7%,99.5%,0.2%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Germany *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Ghana *,,,,,,,,,79.0%,83.5%,74.5%,9.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Greece *,,,,,,,,,97.9%,98.5%,97.4%,1.1%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Grenada *,,,,,,,,,98.6%,98.6%,98.6%,0.0%,2014,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Guatemala *,,,,,,,,,80.8%,85.3%,76.7%,8.6%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Guinea *,,,,,,,,,39.6%,54.4%,27.7%,26.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Guinea-Bissau *,,,,,,,,,59.9%,71.8%,48.3%,23.5%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Guyana *,,,,,,,,,88.5%,87.2%,89.8%,2.6%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Haiti *,,,,,,,,,61.7%,65.3%,58.3%,7.0%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Honduras *,,,,,,,,,88.5%,88.2%,88.7%,0.5%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Hungary *,,,,,,,,,99.1%,99.1%,99.0%,0.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Iceland *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,India *,,,,,,,,,74.4%,82.4%,65.8%,16.6%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Indonesia *,,,,,,,,,96.0%,97.4%,94.6%,2.8%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Iran *,,,,,,,,,85.5%,90.4%,80.8%,9.6%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Iraq *,,,,,,,,,85.6%,91.2%,79.9%,11.3%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Ireland *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Israel *,,,,,,,,,97.8%,98.7%,96.8%,1.9%,2011,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Italy *,,,,,,,,,99.2%,99.4%,99.0%,0.4%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Jamaica *,,,,,,,,,88.7%,84.0%,93.1%,9.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Japan *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Jordan *,,,,,,,,,98.2%,98.6%,97.8%,0.8%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Kazakhstan *,,,,,,,,,99.8%,99.8%,99.7%,0.1%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Kenya *,,,,,,,,,81.5%,85.0%,78.2%,6.8%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Kiribati *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,North Korea *,,,,,,,,,100.0%,100.0%,100.0%,0.0%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,South Korea *,,,,,,,,,98.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Kuwait *,,,,,,,,,96.5%,97.1%,95.4%,1.7%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Kyrgyzstan *,,,,,,,,,99.6%,99.7%,99.5%,0.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Laos *,,,,,,,,,84.7%,90.0%,79.4%,10.6%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Latvia *,,,,,,,,,99.9%,99.9%,99.9%,0.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Lebanon *,,,,,,,,,95.1%,96.9%,93.3%,3.6%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Lesotho *,,,,,,,,,79.4%,70.1%,88.3%,18.2%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Liberia *,,,,,,,,,48.3%,62.7%,34.1%,28.6%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Libya *,,,,,,,,,91.0%,96.7%,85.6%,11.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Liechtenstein *,,,,,,,,,100.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Lithuania *,,,,,,,,,99.8%,99.8%,99.8%,0.0%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Luxembourg *,,,,,,,,,100.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Madagascar *,,,,,,,,,76.7%,78.4%,75.1%,3.3%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Malawi *,,,,,,,,,62.1%,69.8%,55.2%,14.6%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Malaysia *,,,,,,,,,95.0%,96.2%,93.6%,2.6%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Maldives *,,,,,,,,,97.7%,97.3%,98.1%,0.8%,2016,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Mali *,,,,,,,,,35.5%,46.2%,25.7%,20.5%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Malta *,,,,,,,,,94.5%,93.0%,96.0%,3.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Marshall Islands *,,,,,,,,,98.3%,98.3%,98.2%,0.1%,2011,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Mauritania *,,,,,,,,,53.5%,63.7%,43.4%,20.3%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Mauritius *,,,,,,,,,91.3%,93.4%,89.4%,4.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Mexico *,,,,,,,,,95.2%,96.1%,94.5%,1.6%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Micronesia *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Moldova *,,,,,,,,,99.4%,99.7%,99.1%,0.6%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Monaco *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Mongolia *,,,,,,,,,99.2%,99.1%,99.2%,0.1%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Montenegro *,,,,,,,,,98.8%,99.5%,98.3%,1.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Morocco *,,,,,,,,,73.8%,83.3%,64.6%,18.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Mozambique *,,,,,,,,,60.7%,72.6%,50.3%,22.3%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Myanmar *,,,,,,,,,89.1%,92.4%,86.3%,6.1%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Namibia *,,,,,,,,,91.5%,91.6%,91.4%,0.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Nauru *,,,,,,,,,95.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Nepal *,,,,,,,,,67.9%,78.6%,59.7%,18.9%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Netherlands *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,New Zealand *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Nicaragua *,,,,,,,,,82.6%,82.4%,82.8%,0.4%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Niger *,,,,,,,,,35.1%,43.6%,26.7%,16.9%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Nigeria *,,,,,,,,,62.0%,71.3%,52.7%,18.6%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,North Macedonia *,,,,,,,,,98.4%,99.1%,97.6%,1.5%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Norway *,,,,,,,,,100.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Oman *,,,,,,,,,95.7%,97.0%,92.7%,4.3%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Pakistan *,,,,,,,,,58.0%,69.3%,46.5%,22.8%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Palau *,,,,,,,,,96.6%,96.8%,96.3%,0.5%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Panama *,,,,,,,,,95.7%,98.8%,95.4%,3.4%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Papua New Guinea *,,,,,,,,,64.2%,65.6%,62.8%,2.8%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Paraguay *,,,,,,,,,94.5%,94.9%,94.2%,0.7%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Peru *,,,,,,,,,94.5%,97.0%,92.0%,5.0%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Philippines *,,,,,,,,,96.3%,95.7%,96.9%,1.2%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Poland *,,,,,,,,,99.8%,99.9%,99.7%,0.2%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Portugal *,,,,,,,,,96.1%,97.4%,95.1%,2.3%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Palestine,,,,,,,,,97%[11],99%,96%,3%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Qatar *,,,,,,,,,93.5%,92.4%,94.7%,2.3%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Romania *,,,,,,,,,98.8%,99.1%,98.6%,0.5%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Russia *,,,,,,,,,99.7%,99.7%,99.7%,0.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Rwanda *,,,,,,,,,73.2%,77.6%,69.4%,8.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Saint Kitts and Nevis *,,,,,,,,,97.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Saint Lucia *,,,,,,,,,90.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Saint Vincent and the Grenadines *,,,,,,,,,96.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Samoa *,,,,,,,,,99.1%,99.0%,99.2%,0.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,San Marino *,,,,,,,,,99.9%,99.9%,99.9%,0.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,São Tomé and Príncipe *,,,,,,,,,92.8%,96.2%,89.5%,6.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Saudi Arabia *,,,,,,,,,97.6%,98.6%,96.0%,2.6%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Senegal *,,,,,,,,,51.9%,64.8%,39.8%,25.0%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Serbia *,,,,,,,,,99.5%,99.9%,99.1%,0.8%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Seychelles,,,,,,,,,95.9%,95.4%,96.4%,1.0%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Sierra Leone *,,,,,,,,,43.2%,51.6%,39.8%,11.8%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Singapore *,,,,,,,,,97.5%,98.9%,96.1%,2.8%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Slovakia *,,,,,,,,,100.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Slovenia *,,,,,,,,,99.7%,99.7%,99.7%,0.0%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Solomon Islands *,,,,,,,,,77.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Somalia *,,,,,,,,,39.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,South Africa *,,,,,,,,,95.0%,95.5%,94.5%,1.0%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,South Sudan *,,,,,,,,,34.5%,40.3%,28.9%,11.4%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Spain *,,,,,,,,,98.6%,99.0%,98.2%,0.8%,2020,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Sri Lanka *,,,,,,,,,92.3%,93.0%,91.6%,1.4%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Sudan *,,,,,,,,,60.7%,65.4%,56.1%,9.3%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Suriname *,,,,,,,,,94.4%,96.1%,92.7%,3.4%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Eswatini *,,,,,,,,,88.4%,88.3%,88.5%,0.2%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Sweden *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Switzerland *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Syria *,,,,,,,,,86.4%,91.7%,81.0%,10.7%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Taiwan *,,,,,,,,,98.70%,99.73%,97.69%,2.05%,2017,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Tajikistan *,,,,,,,,,99.8%,99.8%,99.7%,0.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Tanzania *,,,,,,,,,77.9%,83.2%,73.1%,10.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Thailand *,,,,,,,,,93.8%,95.2%,92.4%,2.8%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Timor-Leste *,,,,,,,,,68.1%,71.9%,64.2%,7.7%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Togo *,,,,,,,,,66.5%,80.0%,55.1%,24.9%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Tonga *,,,,,,,,,99.4%,99.4%,99.5%,0.1%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Trinidad and Tobago *,,,,,,,,,99.0%,99.2%,98.7%,0.5%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Tunisia *,,,,,,,,,81.8%,89.6%,74.2%,15.4%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Turkey *,,,,,,,,,96.7%,99.1%,94.4%,4.7%,2019,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Turkmenistan *,,,,,,,,,99.7%,99.8%,99.6%,0.2%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Tuvalu *,,,,,,,,,99.0%,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Uganda *,,,,,,,,,76.5%,82.7%,70.8%,11.9%,2018,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,Ukraine *,,,,,,,,,99.8%,99.8%,99.7%,0.1%,2015,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,2,,,,,,,,United Arab Emirates *,,,,,,,,,97.6%,98.0%,96.9%,1.1%,2019,,,,,,,
